Running n= 2, k=1, i=0...
Running n= 4, k=21, i=14...
Running n= 4, k=21, i=15...
Running n= 4, k=21, i=16...
Running n= 4, k=21, i=17...
Running n= 4, k=21, i=18...
Running n= 4, k=21, i=19...
Running n= 4, k=21, i=20...
Running n= 4, k=22, i=0...
Running n= 4, k=22, i=1...
Running n= 4, k=22, i=2...
Running n= 4, k=22, i=3...
Running n= 4, k=22, i=4...
Running n= 4, k=22, i=5...
Running n= 4, k=22, i=6...
Running n= 4, k=22, i=7...
Running n= 4, k=22, i=8...
Running n= 4, k=22, i=9...
Running n= 4, k=22, i=10...
Running n= 4, k=22, i=11...
Running n= 4, k=22, i=12...
Running n= 4, k=22, i=13...
Running n= 4, k=22, i=14...
Running n= 4, k=22, i=15...
Running n= 4, k=22, i=16...
Running n= 4, k=22, i=17...
Running n= 4, k=22, i=18...
Running n= 4, k=22, i=19...
Running n= 4, k=22, i=20...
Running n= 4, k=22, i=21...
Running n= 4, k=23, i=0...
Running n= 4, k=23, i=1...
Running n= 4, k=23, i=2...
Running n= 4, k=23, i=3...
Running n= 4, k=23, i=4...
Running n= 4, k=23, i=5...
Running n= 4, k=23, i=6...
Running n= 4, k=23, i=7...
Running n= 4, k=23, i=8...
Running n= 4, k=23, i=9...
Running n= 4, k=23, i=10...
Running n= 4, k=23, i=11...
Running n= 4, k=23, i=12...
Running n= 4, k=23, i=13...
Running n= 4, k=23, i=14...
Running n= 4, k=23, i=15...
Running n= 4, k=23, i=16...
Running n= 4, k=23, i=17...
Running n= 4, k=23, i=18...
Running n= 4, k=23, i=19...
Running n= 4, k=23, i=20...
Running n= 4, k=23, i=21...
Running n= 4, k=23, i=22...
Running n= 4, k=24, i=0...
Running n= 4, k=24, i=1...
Running n= 4, k=24, i=2...
Running n= 4, k=24, i=3...
Running n= 4, k=24, i=4...
Running n= 4, k=24, i=5...
Running n= 4, k=24, i=6...
Running n= 4, k=24, i=7...
Running n= 4, k=24, i=8...
Running n= 4, k=24, i=9...
Running n= 4, k=24, i=10...
Running n= 4, k=24, i=11...
Running n= 4, k=24, i=12...
Running n= 4, k=24, i=13...
Running n= 4, k=24, i=14...
Running n= 4, k=24, i=15...
Running n= 4, k=24, i=16...
Running n= 4, k=24, i=17...
Running n= 4, k=24, i=18...
Running n= 4, k=24, i=19...
Running n= 4, k=24, i=20...
Running n= 4, k=24, i=21...
Running n= 4, k=24, i=22...
Running n= 4, k=24, i=23...
Running n= 4, k=25, i=0...
Running n= 4, k=25, i=1...
Running n= 4, k=25, i=2...
Running n= 4, k=25, i=3...
Running n= 4, k=25, i=4...
Running n= 4, k=25, i=5...
Running n= 4, k=25, i=6...
Running n= 4, k=25, i=7...
Running n= 4, k=25, i=8...
Running n= 4, k=25, i=9...
Running n= 4, k=25, i=10...
Running n= 4, k=25, i=11...
Running n= 4, k=25, i=12...
Running n= 4, k=25, i=13...
Running n= 4, k=25, i=14...
Running n= 4, k=25, i=15...
Running n= 4, k=25, i=16...
Running n= 4, k=25, i=17...
Running n= 4, k=25, i=18...
Running n= 4, k=25, i=19...
Running n= 4, k=25, i=20...
Running n= 4, k=25, i=21...
Running n= 4, k=25, i=22...
Running n= 4, k=25, i=23...
Running n= 4, k=25, i=24...
Running n= 5, k=1, i=0...
Running n= 5, k=2, i=0...
Running n= 5, k=2, i=1...
Running n= 5, k=3, i=0...
Running n= 5, k=3, i=1...
Running n= 5, k=3, i=2...
Running n= 5, k=4, i=0...
Running n= 5, k=4, i=1...
Running n= 5, k=4, i=2...
Running n= 5, k=4, i=3...
Running n= 5, k=5, i=0...
Running n= 5, k=5, i=1...
Running n= 5, k=5, i=2...
Running n= 5, k=5, i=3...
Running n= 5, k=5, i=4...
Running n= 5, k=6, i=0...
Running n= 5, k=6, i=1...
Running n= 5, k=6, i=2...
Running n= 5, k=6, i=3...
Running n= 5, k=6, i=4...
Running n= 5, k=6, i=5...
Running n= 5, k=7, i=0...
Running n= 5, k=7, i=1...
Running n= 5, k=7, i=2...
Running n= 5, k=7, i=3...
Running n= 5, k=7, i=4...
Running n= 5, k=7, i=5...
Running n= 5, k=7, i=6...
Running n= 5, k=8, i=0...
Running n= 5, k=8, i=1...
Running n= 5, k=8, i=2...
Running n= 5, k=8, i=3...
Running n= 5, k=8, i=4...
Running n= 5, k=8, i=5...
Running n= 5, k=8, i=6...
Running n= 5, k=8, i=7...
Running n= 5, k=9, i=0...
Running n= 5, k=9, i=1...
Running n= 5, k=9, i=2...
Running n= 5, k=9, i=3...
Running n= 5, k=9, i=4...
Running n= 5, k=9, i=5...
Running n= 5, k=9, i=6...
Running n= 5, k=9, i=7...
Running n= 5, k=9, i=8...
Running n= 5, k=10, i=0...
Running n= 5, k=10, i=1...
Running n= 5, k=10, i=2...
Running n= 5, k=10, i=3...
Running n= 5, k=10, i=4...
Running n= 5, k=10, i=5...
Running n= 5, k=10, i=6...
Running n= 5, k=10, i=7...
Running n= 5, k=10, i=8...
Running n= 5, k=10, i=9...
Running n= 5, k=11, i=0...
Running n= 5, k=11, i=1...
Running n= 5, k=11, i=2...
Running n= 5, k=11, i=3...
Running n= 5, k=11, i=4...
Running n= 5, k=11, i=5...
Running n= 5, k=11, i=6...
Running n= 5, k=11, i=7...
Running n= 5, k=11, i=8...
Running n= 5, k=11, i=9...
Running n= 5, k=11, i=10...
Running n= 5, k=12, i=0...
Running n= 5, k=12, i=1...
Running n= 5, k=12, i=2...
Running n= 5, k=12, i=3...
Running n= 5, k=12, i=4...
Running n= 5, k=12, i=5...
Running n= 5, k=12, i=6...
Running n= 5, k=12, i=7...
Running n= 5, k=12, i=8...
Running n= 5, k=12, i=9...
Running n= 5, k=12, i=10...
Running n= 5, k=12, i=11...
Running n= 5, k=13, i=0...
Running n= 5, k=13, i=1...
Running n= 5, k=13, i=2...
Running n= 5, k=13, i=3...
Running n= 5, k=13, i=4...
Running n= 5, k=13, i=5...
Running n= 5, k=13, i=6...
Running n= 5, k=13, i=7...
Running n= 5, k=13, i=8...
Running n= 5, k=13, i=9...
Running n= 5, k=13, i=10...
Running n= 5, k=13, i=11...
Running n= 5, k=13, i=12...
Running n= 5, k=14, i=0...
Running n= 5, k=14, i=1...
Running n= 5, k=14, i=2...
Running n= 5, k=14, i=3...
Running n= 5, k=14, i=4...
Running n= 5, k=14, i=5...
Running n= 5, k=14, i=6...
Running n= 5, k=14, i=7...
Running n= 5, k=14, i=8...
Running n= 5, k=14, i=9...
Running n= 5, k=14, i=10...
Running n= 5, k=14, i=11...
Running n= 5, k=14, i=12...
Running n= 5, k=14, i=13...
Running n= 5, k=15, i=0...
Running n= 5, k=15, i=1...
Running n= 5, k=15, i=2...
Running n= 5, k=15, i=3...
Running n= 5, k=15, i=4...
Running n= 5, k=15, i=5...
Running n= 5, k=15, i=6...
Running n= 5, k=15, i=7...
Running n= 5, k=15, i=8...
Running n= 5, k=15, i=9...
Running n= 5, k=15, i=10...
Running n= 5, k=15, i=11...
Running n= 5, k=15, i=12...
Running n= 5, k=15, i=13...
Running n= 5, k=15, i=14...
Running n= 5, k=16, i=0...
Running n= 5, k=16, i=1...
Running n= 5, k=16, i=2...
Running n= 5, k=16, i=3...
Running n= 5, k=16, i=4...
Running n= 5, k=16, i=5...
Running n= 5, k=16, i=6...
Running n= 5, k=16, i=7...
Running n= 5, k=16, i=8...
Running n= 5, k=16, i=9...
Running n= 5, k=16, i=10...
Running n= 5, k=16, i=11...
Running n= 5, k=16, i=12...
Running n= 5, k=16, i=13...
Running n= 5, k=16, i=14...
Running n= 5, k=16, i=15...
Running n= 5, k=17, i=0...
Running n= 5, k=17, i=1...
Running n= 5, k=17, i=2...
Running n= 5, k=17, i=3...
Running n= 5, k=17, i=4...
Running n= 5, k=17, i=5...
Running n= 5, k=17, i=6...
Running n= 5, k=17, i=7...
Running n= 5, k=17, i=8...
Running n= 5, k=17, i=9...
Running n= 5, k=17, i=10...
Running n= 5, k=17, i=11...
Running n= 5, k=17, i=12...
Running n= 5, k=17, i=13...
Running n= 5, k=17, i=14...
Running n= 5, k=17, i=15...
Running n= 5, k=17, i=16...
Running n= 5, k=18, i=0...
Running n= 5, k=18, i=1...
Running n= 5, k=18, i=2...
Running n= 5, k=18, i=3...
Running n= 5, k=18, i=4...
Running n= 5, k=18, i=5...
Running n= 5, k=18, i=6...
Running n= 5, k=18, i=7...
Running n= 5, k=18, i=8...
Running n= 5, k=18, i=9...
Running n= 5, k=18, i=10...
Running n= 5, k=18, i=11...
Running n= 5, k=18, i=12...
Running n= 5, k=18, i=13...
Running n= 5, k=18, i=14...
Running n= 5, k=18, i=15...
Running n= 5, k=18, i=16...
Running n= 5, k=18, i=17...
Running n= 5, k=19, i=0...
Running n= 5, k=19, i=1...
Running n= 5, k=19, i=2...
Running n= 5, k=19, i=3...
Running n= 5, k=19, i=4...
Running n= 5, k=19, i=5...
Running n= 5, k=19, i=6...
Running n= 5, k=19, i=7...
Running n= 5, k=19, i=8...
Running n= 5, k=19, i=9...
Running n= 5, k=19, i=10...
Running n= 5, k=19, i=11...
Running n= 5, k=19, i=12...
Running n= 5, k=19, i=13...
Running n= 5, k=19, i=14...
Running n= 5, k=19, i=15...
Running n= 5, k=19, i=16...
Running n= 5, k=19, i=17...
Running n= 5, k=19, i=18...
Running n= 5, k=20, i=0...
Running n= 5, k=20, i=1...
Running n= 5, k=20, i=2...
Running n= 5, k=20, i=3...
Running n= 5, k=20, i=4...
Running n= 5, k=20, i=5...
Running n= 5, k=20, i=6...
Running n= 5, k=20, i=7...
Running n= 5, k=20, i=8...
Running n= 5, k=20, i=9...
Running n= 5, k=20, i=10...
Running n= 5, k=20, i=11...
Running n= 5, k=20, i=12...
Running n= 5, k=20, i=13...
Running n= 5, k=20, i=14...
Running n= 5, k=20, i=15...
Running n= 5, k=20, i=16...
Running n= 5, k=20, i=17...
Running n= 5, k=20, i=18...
Running n= 5, k=20, i=19...
Running n= 5, k=21, i=0...
Running n= 5, k=21, i=1...
Running n= 5, k=21, i=2...
Running n= 5, k=21, i=3...
Running n= 5, k=21, i=4...
Running n= 5, k=21, i=5...
Running n= 5, k=21, i=6...
Running n= 5, k=21, i=7...
Running n= 5, k=21, i=8...
Running n= 5, k=21, i=9...
Running n= 5, k=21, i=10...
Running n= 5, k=21, i=11...
Running n= 5, k=21, i=12...
Running n= 5, k=21, i=13...
Running n= 5, k=21, i=14...
Running n= 5, k=21, i=15...
Running n= 5, k=21, i=16...
Running n= 5, k=21, i=17...
Running n= 5, k=21, i=18...
Running n= 5, k=21, i=19...
Running n= 5, k=21, i=20...
Running n= 5, k=22, i=0...
Running n= 5, k=22, i=1...
Running n= 5, k=22, i=2...
Running n= 5, k=22, i=3...
Running n= 5, k=22, i=4...
Running n= 5, k=22, i=5...
Running n= 5, k=22, i=6...
Running n= 5, k=22, i=7...
Running n= 5, k=22, i=8...
Running n= 5, k=22, i=9...
Running n= 5, k=22, i=10...
Running n= 5, k=22, i=11...
Running n= 5, k=22, i=12...
Running n= 5, k=22, i=13...
Running n= 5, k=22, i=14...
Running n= 5, k=22, i=15...
Running n= 5, k=22, i=16...
Running n= 5, k=22, i=17...
Running n= 5, k=22, i=18...
Running n= 5, k=22, i=19...
Running n= 5, k=22, i=20...
Running n= 5, k=22, i=21...
Running n= 5, k=23, i=0...
Running n= 5, k=23, i=1...
Running n= 5, k=23, i=2...
Running n= 5, k=23, i=3...
Running n= 5, k=23, i=4...
Running n= 5, k=23, i=5...
Running n= 5, k=23, i=6...
Running n= 5, k=23, i=7...
Running n= 5, k=23, i=8...
Running n= 5, k=23, i=9...
Running n= 5, k=23, i=10...
Running n= 5, k=23, i=11...
Running n= 5, k=23, i=12...
Running n= 5, k=23, i=13...
Running n= 5, k=23, i=14...
Running n= 5, k=23, i=15...
Running n= 5, k=23, i=16...
Running n= 5, k=23, i=17...
Running n= 5, k=23, i=18...
Running n= 5, k=23, i=19...
Running n= 5, k=23, i=20...
Running n= 5, k=23, i=21...
Running n= 5, k=23, i=22...
Running n= 5, k=24, i=0...
Running n= 5, k=24, i=1...
Running n= 5, k=24, i=2...
Running n= 5, k=24, i=3...
Running n= 5, k=24, i=4...
Running n= 5, k=24, i=5...
Running n= 5, k=24, i=6...
Running n= 5, k=24, i=7...
Running n= 5, k=24, i=8...
Running n= 5, k=24, i=9...
Running n= 5, k=24, i=10...
Running n= 5, k=24, i=11...
Running n= 5, k=24, i=12...
Running n= 5, k=24, i=13...
Running n= 5, k=24, i=14...
Running n= 5, k=24, i=15...
Running n= 5, k=24, i=16...
Running n= 5, k=24, i=17...
Running n= 5, k=24, i=18...
Running n= 5, k=24, i=19...
Running n= 5, k=24, i=20...
Running n= 5, k=24, i=21...
Running n= 5, k=24, i=22...
Running n= 5, k=24, i=23...
Running n= 5, k=25, i=0...
Running n= 5, k=25, i=1...
Running n= 5, k=25, i=2...
Running n= 5, k=25, i=3...
Running n= 5, k=25, i=4...
Running n= 5, k=25, i=5...
Running n= 5, k=25, i=6...
Running n= 5, k=25, i=7...
Running n= 5, k=25, i=8...
Running n= 5, k=25, i=9...
Running n= 5, k=25, i=10...
Running n= 5, k=25, i=11...
Running n= 5, k=25, i=12...
Running n= 5, k=25, i=13...
Running n= 5, k=25, i=14...
Running n= 5, k=25, i=15...
Running n= 5, k=25, i=16...
Running n= 5, k=25, i=17...
Running n= 5, k=25, i=18...
Running n= 5, k=25, i=19...
Running n= 5, k=25, i=20...
Running n= 5, k=25, i=21...
Running n= 5, k=25, i=22...
Running n= 5, k=25, i=23...
Running n= 5, k=25, i=24...
Running n= 6, k=1, i=0...
Running n= 6, k=2, i=0...
Running n= 6, k=2, i=1...
Running n= 6, k=3, i=0...
Running n= 6, k=3, i=1...
Running n= 6, k=3, i=2...
Running n= 6, k=4, i=0...
Running n= 6, k=4, i=1...
Running n= 6, k=4, i=2...
Running n= 6, k=4, i=3...
Running n= 6, k=5, i=0...
Running n= 6, k=5, i=1...
Running n= 6, k=5, i=2...
Running n= 6, k=5, i=3...
Running n= 6, k=5, i=4...
Running n= 6, k=6, i=0...
Running n= 6, k=6, i=1...
Running n= 6, k=6, i=2...
Running n= 6, k=6, i=3...
Running n= 6, k=6, i=4...
Running n= 6, k=6, i=5...
Running n= 6, k=7, i=0...
Running n= 6, k=7, i=1...
Running n= 6, k=7, i=2...
Running n= 6, k=7, i=3...
Running n= 6, k=7, i=4...
Running n= 6, k=7, i=5...
Running n= 6, k=7, i=6...
Running n= 6, k=8, i=0...
Running n= 6, k=8, i=1...
Running n= 6, k=8, i=2...
Running n= 6, k=8, i=3...
Running n= 6, k=8, i=4...
Running n= 6, k=8, i=5...
Running n= 6, k=8, i=6...
Running n= 6, k=8, i=7...
Running n= 6, k=9, i=0...
Running n= 6, k=9, i=1...
Running n= 6, k=9, i=2...
Running n= 6, k=9, i=3...
Running n= 6, k=9, i=4...
Running n= 6, k=9, i=5...
Running n= 6, k=9, i=6...
Running n= 6, k=9, i=7...
Running n= 6, k=9, i=8...
Running n= 6, k=10, i=0...
Running n= 6, k=10, i=1...
Running n= 6, k=10, i=2...
Running n= 6, k=10, i=3...
Running n= 6, k=10, i=4...
Running n= 6, k=10, i=5...
Running n= 6, k=10, i=6...
Running n= 6, k=10, i=7...
Running n= 6, k=10, i=8...
Running n= 6, k=10, i=9...
Running n= 6, k=11, i=0...
Running n= 6, k=11, i=1...
Running n= 6, k=11, i=2...
Running n= 6, k=11, i=3...
Running n= 6, k=11, i=4...
Running n= 6, k=11, i=5...
Running n= 6, k=11, i=6...
Running n= 6, k=11, i=7...
Running n= 6, k=11, i=8...
Running n= 6, k=11, i=9...
Running n= 6, k=11, i=10...
Running n= 6, k=12, i=0...
Running n= 6, k=12, i=1...
Running n= 6, k=12, i=2...
Running n= 6, k=12, i=3...
Running n= 6, k=12, i=4...
Running n= 6, k=12, i=5...
Running n= 6, k=12, i=6...
Running n= 6, k=12, i=7...
Running n= 6, k=12, i=8...
Running n= 6, k=12, i=9...
Running n= 6, k=12, i=10...
Running n= 6, k=12, i=11...
Running n= 6, k=13, i=0...
Running n= 6, k=13, i=1...
Running n= 6, k=13, i=2...
Running n= 6, k=13, i=3...
Running n= 6, k=13, i=4...
Running n= 6, k=13, i=5...
Running n= 6, k=13, i=6...
Running n= 6, k=13, i=7...
Running n= 6, k=13, i=8...
Running n= 6, k=13, i=9...
Running n= 6, k=13, i=10...
Running n= 6, k=13, i=11...
Running n= 6, k=13, i=12...
Running n= 6, k=14, i=0...
Running n= 6, k=14, i=1...
Running n= 6, k=14, i=2...
Running n= 6, k=14, i=3...
Running n= 6, k=14, i=4...
Running n= 6, k=14, i=5...
Running n= 6, k=14, i=6...
Running n= 6, k=14, i=7...
Running n= 6, k=14, i=8...
Running n= 6, k=14, i=9...
Running n= 6, k=14, i=10...
Running n= 6, k=14, i=11...
Running n= 6, k=14, i=12...
Running n= 6, k=14, i=13...
Running n= 6, k=15, i=0...
Running n= 6, k=15, i=1...
Running n= 6, k=15, i=2...
Running n= 6, k=15, i=3...
Running n= 6, k=15, i=4...
Running n= 6, k=15, i=5...
Running n= 6, k=15, i=6...
Running n= 6, k=15, i=7...
Running n= 6, k=15, i=8...
Running n= 6, k=15, i=9...
Running n= 6, k=15, i=10...
Running n= 6, k=15, i=11...
Running n= 6, k=15, i=12...
Running n= 6, k=15, i=13...
Running n= 6, k=15, i=14...
Running n= 6, k=16, i=0...
Running n= 6, k=16, i=1...
Running n= 6, k=16, i=2...
Running n= 6, k=16, i=3...
Running n= 6, k=16, i=4...
Running n= 6, k=16, i=5...
Running n= 6, k=16, i=6...
Running n= 6, k=16, i=7...
Running n= 6, k=16, i=8...
Running n= 6, k=16, i=9...
Running n= 6, k=16, i=10...
Running n= 6, k=16, i=11...
Running n= 6, k=16, i=12...
Running n= 6, k=16, i=13...
Running n= 6, k=16, i=14...
Running n= 6, k=16, i=15...
Running n= 6, k=17, i=0...
Running n= 6, k=17, i=1...
Running n= 6, k=17, i=2...
Running n= 6, k=17, i=3...
Running n= 6, k=17, i=4...
Running n= 6, k=17, i=5...
Running n= 6, k=17, i=6...
Running n= 6, k=17, i=7...
Running n= 6, k=17, i=8...
Running n= 6, k=17, i=9...
Running n= 6, k=17, i=10...
Running n= 6, k=17, i=11...
Running n= 6, k=17, i=12...
Running n= 6, k=17, i=13...
Running n= 6, k=17, i=14...
Running n= 6, k=17, i=15...
Running n= 6, k=17, i=16...
Running n= 6, k=18, i=0...
Running n= 6, k=18, i=1...
Running n= 6, k=18, i=2...
Running n= 6, k=18, i=3...
Running n= 6, k=18, i=4...
Running n= 6, k=18, i=5...
Running n= 6, k=18, i=6...
Running n= 6, k=18, i=7...
Running n= 6, k=18, i=8...
Running n= 6, k=18, i=9...
Running n= 6, k=18, i=10...
Running n= 6, k=18, i=11...
Running n= 6, k=18, i=12...
Running n= 6, k=18, i=13...
Running n= 6, k=18, i=14...
Running n= 6, k=18, i=15...
Running n= 6, k=18, i=16...
Running n= 6, k=18, i=17...
Running n= 6, k=19, i=0...
Running n= 6, k=19, i=1...
Running n= 6, k=19, i=2...
Running n= 6, k=19, i=3...
Running n= 6, k=19, i=4...
Running n= 6, k=19, i=5...
Running n= 6, k=19, i=6...
Running n= 6, k=19, i=7...
Running n= 6, k=19, i=8...
Running n= 6, k=19, i=9...
Running n= 6, k=19, i=10...
Running n= 6, k=19, i=11...
Running n= 6, k=19, i=12...
Running n= 6, k=19, i=13...
Running n= 6, k=19, i=14...
Running n= 6, k=19, i=15...
Running n= 6, k=19, i=16...
Running n= 6, k=19, i=17...
Running n= 6, k=19, i=18...
Running n= 6, k=20, i=0...
Running n= 6, k=20, i=1...
Running n= 6, k=20, i=2...
Running n= 6, k=20, i=3...
Running n= 6, k=20, i=4...
Running n= 6, k=20, i=5...
Running n= 6, k=20, i=6...
Running n= 6, k=20, i=7...
Running n= 6, k=20, i=8...
Running n= 6, k=20, i=9...
Running n= 6, k=20, i=10...
Running n= 6, k=20, i=11...
Running n= 6, k=20, i=12...
Running n= 6, k=20, i=13...
Running n= 6, k=20, i=14...
Running n= 6, k=20, i=15...
Running n= 6, k=20, i=16...
Running n= 6, k=20, i=17...
Running n= 6, k=20, i=18...
Running n= 6, k=20, i=19...
Running n= 6, k=21, i=0...
Running n= 6, k=21, i=1...
Running n= 6, k=21, i=2...
Running n= 6, k=21, i=3...
Running n= 6, k=21, i=4...
Running n= 6, k=21, i=5...
Running n= 6, k=21, i=6...
Running n= 6, k=21, i=7...
Running n= 6, k=21, i=8...
Running n= 6, k=21, i=9...
Running n= 6, k=21, i=10...
Running n= 6, k=21, i=11...
Running n= 6, k=21, i=12...
Running n= 6, k=21, i=13...
Running n= 6, k=21, i=14...
Running n= 6, k=21, i=15...
Running n= 6, k=21, i=16...
Running n= 6, k=21, i=17...
Running n= 6, k=21, i=18...
Running n= 6, k=21, i=19...
Running n= 6, k=21, i=20...
Running n= 6, k=22, i=0...
Running n= 6, k=22, i=1...
Running n= 6, k=22, i=2...
Running n= 6, k=22, i=3...
Running n= 6, k=22, i=4...
Running n= 6, k=22, i=5...
Running n= 6, k=22, i=6...
Running n= 6, k=22, i=7...
Running n= 6, k=22, i=8...
Running n= 6, k=22, i=9...
Running n= 6, k=22, i=10...
Running n= 6, k=22, i=11...
Running n= 6, k=22, i=12...
Running n= 6, k=22, i=13...
Running n= 6, k=22, i=14...
Running n= 6, k=22, i=15...
Running n= 6, k=22, i=16...
Running n= 6, k=22, i=17...
Running n= 6, k=22, i=18...
Running n= 6, k=22, i=19...
Running n= 6, k=22, i=20...
Running n= 6, k=22, i=21...
Running n= 6, k=23, i=0...
Running n= 6, k=23, i=1...
Running n= 6, k=23, i=2...
Running n= 6, k=23, i=3...
Running n= 6, k=23, i=4...
Running n= 6, k=23, i=5...
Running n= 6, k=23, i=6...
Running n= 6, k=23, i=7...
Running n= 6, k=23, i=8...
Running n= 6, k=23, i=9...
Running n= 6, k=23, i=10...
Running n= 6, k=23, i=11...
Running n= 6, k=23, i=12...
Running n= 6, k=23, i=13...
Running n= 6, k=23, i=14...
Running n= 6, k=23, i=15...
Running n= 6, k=23, i=16...
Running n= 6, k=23, i=17...
Running n= 6, k=23, i=18...
Running n= 6, k=23, i=19...
Running n= 6, k=23, i=20...
Running n= 6, k=23, i=21...
Running n= 6, k=23, i=22...
Running n= 6, k=24, i=0...
Running n= 6, k=24, i=1...
Running n= 6, k=24, i=2...
Running n= 6, k=24, i=3...
Running n= 6, k=24, i=4...
Running n= 6, k=24, i=5...
Running n= 6, k=24, i=6...
Running n= 6, k=24, i=7...
Running n= 6, k=24, i=8...
Running n= 6, k=24, i=9...
Running n= 6, k=24, i=10...
Running n= 6, k=24, i=11...
Running n= 6, k=24, i=12...
Running n= 6, k=24, i=13...
Running n= 6, k=24, i=14...
Running n= 6, k=24, i=15...
Running n= 6, k=24, i=16...
Running n= 6, k=24, i=17...
Running n= 6, k=24, i=18...
Running n= 6, k=24, i=19...
Running n= 6, k=24, i=20...
Running n= 6, k=24, i=21...
Running n= 6, k=24, i=22...
Running n= 6, k=24, i=23...
Running n= 6, k=25, i=0...
Running n= 6, k=25, i=1...
Running n= 6, k=25, i=2...
Running n= 6, k=25, i=3...
Running n= 6, k=25, i=4...
Running n= 6, k=25, i=5...
Running n= 6, k=25, i=6...
Running n= 6, k=25, i=7...
Running n= 6, k=25, i=8...
Running n= 6, k=25, i=9...
Running n= 6, k=25, i=10...
Running n= 6, k=25, i=11...
Running n= 6, k=25, i=12...
Running n= 6, k=25, i=13...
Running n= 6, k=25, i=14...
Running n= 6, k=25, i=15...
Running n= 6, k=25, i=16...
Running n= 6, k=25, i=17...
Running n= 6, k=25, i=18...
Running n= 6, k=25, i=19...
Running n= 6, k=25, i=20...
Running n= 6, k=25, i=21...
Running n= 6, k=25, i=22...
Running n= 6, k=25, i=23...
Running n= 6, k=25, i=24...
Running n= 7, k=1, i=0...
Running n= 7, k=2, i=0...
Running n= 7, k=2, i=1...
Running n= 7, k=3, i=0...
Running n= 7, k=3, i=1...
Running n= 7, k=3, i=2...
Running n= 7, k=4, i=0...
Running n= 7, k=4, i=1...
Running n= 7, k=4, i=2...
Running n= 7, k=4, i=3...
Running n= 7, k=5, i=0...
Running n= 7, k=5, i=1...
Running n= 7, k=5, i=2...
Running n= 7, k=5, i=3...
Running n= 7, k=5, i=4...
Running n= 7, k=6, i=0...
Running n= 7, k=6, i=1...
Running n= 7, k=6, i=2...
Running n= 7, k=6, i=3...
Running n= 7, k=6, i=4...
Running n= 7, k=6, i=5...
Running n= 7, k=7, i=0...
Running n= 7, k=7, i=1...
Running n= 7, k=7, i=2...
Running n= 7, k=7, i=3...
Running n= 7, k=7, i=4...
Running n= 7, k=7, i=5...
Running n= 7, k=7, i=6...
Running n= 7, k=8, i=0...
Running n= 7, k=8, i=1...
Running n= 7, k=8, i=2...
Running n= 7, k=8, i=3...
Running n= 7, k=8, i=4...
Running n= 7, k=8, i=5...
Running n= 7, k=8, i=6...
Running n= 7, k=8, i=7...
Running n= 7, k=9, i=0...
Running n= 7, k=9, i=1...
Running n= 7, k=9, i=2...
Running n= 7, k=9, i=3...
Running n= 7, k=9, i=4...
Running n= 7, k=9, i=5...
Running n= 7, k=9, i=6...
Running n= 7, k=9, i=7...
Running n= 7, k=9, i=8...
Running n= 7, k=10, i=0...
Running n= 7, k=10, i=1...
Running n= 7, k=10, i=2...
Running n= 7, k=10, i=3...
Running n= 7, k=10, i=4...
Running n= 7, k=10, i=5...
Running n= 7, k=10, i=6...
Running n= 7, k=10, i=7...
Running n= 7, k=10, i=8...
Running n= 7, k=10, i=9...
Running n= 7, k=11, i=0...
Running n= 7, k=11, i=1...
Running n= 7, k=11, i=2...
Running n= 7, k=11, i=3...
Running n= 7, k=11, i=4...
Running n= 7, k=11, i=5...
Running n= 7, k=11, i=6...
Running n= 7, k=11, i=7...
Running n= 7, k=11, i=8...
Running n= 7, k=11, i=9...
Running n= 7, k=11, i=10...
Running n= 7, k=12, i=0...
Running n= 7, k=12, i=1...
Running n= 7, k=12, i=2...
Running n= 7, k=12, i=3...
Running n= 7, k=12, i=4...
Running n= 7, k=12, i=5...
Running n= 7, k=12, i=6...
Running n= 7, k=12, i=7...
Running n= 7, k=12, i=8...
Running n= 7, k=12, i=9...
Running n= 7, k=12, i=10...
Running n= 7, k=12, i=11...
Running n= 7, k=13, i=0...
Running n= 7, k=13, i=1...
Running n= 7, k=13, i=2...
Running n= 7, k=13, i=3...
Running n= 7, k=13, i=4...
Running n= 7, k=13, i=5...
Running n= 7, k=13, i=6...
Running n= 7, k=13, i=7...
Running n= 7, k=13, i=8...
Running n= 7, k=13, i=9...
Running n= 7, k=13, i=10...
Running n= 7, k=13, i=11...
Running n= 7, k=13, i=12...
Running n= 7, k=14, i=0...
Running n= 7, k=14, i=1...
Running n= 7, k=14, i=2...
Running n= 7, k=14, i=3...
Running n= 7, k=14, i=4...
Running n= 7, k=14, i=5...
Running n= 7, k=14, i=6...
Running n= 7, k=14, i=7...
Running n= 7, k=14, i=8...
Running n= 7, k=14, i=9...
Running n= 7, k=14, i=10...
Running n= 7, k=14, i=11...
Running n= 7, k=14, i=12...
Running n= 7, k=14, i=13...
Running n= 7, k=15, i=0...
Running n= 7, k=15, i=1...
Running n= 7, k=15, i=2...
Running n= 7, k=15, i=3...
Running n= 7, k=15, i=4...
Running n= 7, k=15, i=5...
Running n= 7, k=15, i=6...
Running n= 7, k=15, i=7...
Running n= 7, k=15, i=8...
Running n= 7, k=15, i=9...
Running n= 7, k=15, i=10...
Running n= 7, k=15, i=11...
Running n= 7, k=15, i=12...
Running n= 7, k=15, i=13...
Running n= 7, k=15, i=14...
Running n= 7, k=16, i=0...
Running n= 7, k=16, i=1...
Running n= 7, k=16, i=2...
